iter	Passed	Remaining
370	748	1269
371	749	1265
372	750	1262
373	751	1258
374	752	1254
375	753	1250
376	754	1246
377	755	1242
378	755	1238
379	756	1234
380	757	1230
381	758	1226
382	761	1226
383	761	1222
384	762	1218
385	763	1214
386	764	1210
387	765	1207
388	766	1203
389	767	1200
390	768	1196
391	769	1193
392	770	1189
393	771	1186
394	772	1182
395	773	1179
396	774	1176
397	776	1173
398	777	1171
399	778	1167
400	779	1164
401	780	1161
402	781	1157
403	782	1154
404	783	1151
405	784	1147
406	785	1144
407	786	1141
408	787	1137
409	788	1134
410	791	1134
411	792	1131
412	793	1128
413	794	1125
414	795	1121
415	797	1119
416	798	1116
417	799	1112
418	800	1109
419	801	1106
420	802	1103
421	802	1099
422	803	1096
423	806	1095
424	807	1092
425	808	1088
426	808	1085
427	809	1082
428	810	1078
429	811	1076
430	812	1073
431	814	1070
432	815	1067
433	816	1064
434	817	1061
435	818	1058
436	823	1060
437	824	1057
438	827	1057
439	829	1055
440	830	1053
441	831	1050
442	833	1047
443	834	1045
444	836	1043
445	838	1041
446	840	1039
447	841	1037
448	842	1034
449	844	1031
450	845	1029
451	847	1027
452	848	1024
453	851	1024
454	853	1022
